Date,Time,Lat,Long
09/12/03,05:54:00 AM,21.702,-56.587
09/12/03,05:56:00 AM,21.701,-56.591
09/12/03,05:58:00 AM,21.701,-56.596
09/12/03,06:00:00 AM,21.7,-56.6
09/12/03,06:01:59 AM,21.699,-56.604
09/12/03,06:03:59 AM,21.699,-56.609
09/12/03,06:05:59 AM,21.698,-56.613
09/12/03,06:07:59 AM,21.697,-56.618
09/12/03,06:09:59 AM,21.696,-56.622
09/12/03,06:11:59 AM,21.696,-56.626
09/12/03,06:13:59 AM,21.695,-56.631
09/12/03,06:16:00 AM,21.694,-56.635
09/12/03,06:18:00 AM,21.693,-56.64
09/12/03,06:20:00 AM,21.693,-56.644
09/12/03,06:22:00 AM,21.692,-56.648
09/12/03,06:24:00 AM,21.691,-56.653
09/12/03,06:26:00 AM,21.69,-56.657
09/12/03,06:28:00 AM,21.69,-56.662
09/12/03,06:30:00 AM,21.689,-56.666
09/12/03,06:31:59 AM,21.688,-56.67
09/12/03,06:33:59 AM,21.687,-56.675
09/12/03,06:35:59 AM,21.687,-56.679
09/12/03,06:37:59 AM,21.686,-56.684
09/12/03,06:39:59 AM,21.685,-56.688
09/12/03,06:41:59 AM,21.685,-56.692
09/12/03,06:43:59 AM,21.684,-56.697
09/12/03,06:46:00 AM,21.683,-56.701
09/12/03,06:48:00 AM,21.682,-56.706
09/12/03,06:50:00 AM,21.682,-56.71
09/12/03,06:52:00 AM,21.681,-56.714
09/12/03,06:54:00 AM,21.68,-56.719
09/12/03,06:56:00 AM,21.679,-56.723
09/12/03,06:58:00 AM,21.679,-56.728
09/12/03,07:00:00 AM,21.678,-56.732
09/12/03,07:01:59 AM,21.677,-56.736
09/12/03,07:03:59 AM,21.677,-56.741
09/12/03,07:05:59 AM,21.676,-56.745
09/12/03,07:07:59 AM,21.675,-56.75
09/12/03,07:09:59 AM,21.674,-56.754
09/12/03,07:11:59 AM,21.674,-56.758
09/12/03,07:13:59 AM,21.673,-56.763
09/12/03,07:16:00 AM,21.672,-56.767
09/12/03,07:18:00 AM,21.672,-56.772
09/12/03,07:20:00 AM,21.671,-56.776
09/12/03,07:22:00 AM,21.67,-56.78
09/12/03,07:24:00 AM,21.669,-56.785
09/12/03,07:26:00 AM,21.669,-56.789
09/12/03,07:28:00 AM,21.668,-56.794
09/12/03,07:30:00 AM,21.667,-56.798
09/12/03,07:31:59 AM,21.667,-56.802
09/12/03,07:33:59 AM,21.666,-56.807
09/12/03,07:35:59 AM,21.665,-56.811
09/12/03,07:37:59 AM,21.665,-56.816
09/12/03,07:39:59 AM,21.664,-56.82
09/12/03,07:41:59 AM,21.663,-56.824
09/12/03,07:43:59 AM,21.662,-56.829
09/12/03,07:46:00 AM,21.662,-56.833
09/12/03,07:48:00 AM,21.661,-56.838
09/12/03,07:50:00 AM,21.66,-56.842
09/12/03,07:52:00 AM,21.66,-56.847
09/12/03,07:54:00 AM,21.659,-56.851
09/12/03,07:56:00 AM,21.658,-56.855
09/12/03,07:58:00 AM,21.658,-56.86
09/12/03,08:00:00 AM,21.657,-56.864
09/12/03,08:02:00 AM,21.656,-56.869
09/12/03,08:03:59 AM,21.656,-56.873
09/12/03,08:06:00 AM,21.655,-56.877
09/12/03,08:07:59 AM,21.654,-56.882
09/12/03,08:10:00 AM,21.654,-56.886
09/12/03,08:11:59 AM,21.653,-56.891
09/12/03,08:14:00 AM,21.652,-56.895
09/12/03,08:15:59 AM,21.652,-56.899
09/12/03,08:18:00 AM,21.651,-56.904
09/12/03,08:19:59 AM,21.65,-56.908
09/12/03,08:22:00 AM,21.65,-56.913
09/12/03,08:23:59 AM,21.649,-56.917
09/12/03,08:26:00 AM,21.648,-56.922
09/12/03,08:27:59 AM,21.648,-56.926
